"Gene","kMEdarkorchid2"
"Yjefn3",0.931670619384952
"Krt73",0.929846773633202
"Kctd12",0.902405558990407
"Frem1",0.660979681684787
"Eps8",0.625566014698654
"Necab2",0.585033947844315
"Nr1h4",0.497238952262712
"Smim30",0.423723466960568
"Ell2",0.402142556382081
"Frmd7",0.39661997268815
