"Gene"
"Olfm1"
"Gabra3"
"Rasl10a"
"Blnk"
"Efcab6"
"Slc7a4"
"Glipr1"
"Bdnf"
"Nptx2"
"Dmkn"
"Cd7"
"Pgam2"
"Gm34567"
"Gm49678"
"Ccnb1"
"Htra4"
"Inhba"
"Gpr52"
"Incenp"
"Spink8"
"Gpr68"
"Adgrf4"
"Ucma"
"Mei1"
"Deptor"
"Klk8"
"Lipg"
"Oprk1"
"Gm45346"
"Spmap2"
"Cfap95"
"Gm13848"
"Ccnd1"
"2810404M03Rik"
"Mcm10"
"Iqgap3"
"Lct"
